#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome","NC_003210.1",25351,25839,"+",985051,,"lmo0022","NP_463555.1",162,"PTS fructose transporter subunit IIB"
"chromosome","NC_003210.1",25862,26665,"+",985053,,"lmo0023","NP_463556.1",267,"PTS fructose transporter subunit IIC"
"chromosome","NC_003210.1",26640,27467,"+",985058,,"lmo0024","NP_463557.1",275,"PTS mannose transporter subunit IID"
"chromosome","NC_003210.1",27495,28199,"+",985061,,"lmo0025","NP_463558.1",234,"phosphoheptose isomerase"
"chromosome","NC_003210.1",28254,28895,"+",985069,,"lmo0026","NP_463559.1",213,"copper homeostasis protein CutC"
"chromosome","NC_003210.1",29100,31004,"+",985074,,"lmo0027","NP_463560.1",634,"PTS beta-glucoside transporter subunit IIABC"
"chromosome","NC_003210.1",31088,31963,"+",985088,,"lmo0028","NP_463561.1",291,"microcin C7 self-immunity protein MccF"
"chromosome","NC_003210.1",32197,32535,"+",985092,,"lmo0029","NP_463562.1",112,"hypothetical protein lmo0029"
"chromosome","NC_003210.1",32571,33380,"-",985106,,"lmo0030","NP_463563.1",269,"hypothetical protein lmo0030"
"chromosome","NC_003210.1",33397,34452,"-",985116,,"lmo0031","NP_463564.1",351,"LacI family transcription regulator"
"chromosome","NC_003210.1",34654,35619,"+",985121,,"lmo0032","NP_463565.1",321,"xylose repressor"
"chromosome","NC_003210.1",35616,38018,"+",985131,,"lmo0033","NP_463566.1",800,"endoglucanase"
"chromosome","NC_003210.1",38031,39383,"+",985136,,"lmo0034","NP_463567.1",450,"PTS cellbiose transporter subunit IIC"
"chromosome","NC_003210.1",39385,40470,"+",985145,,"lmo0035","NP_463568.1",361,"glucosamine--fructose-6-phosphate aminotransferase"
"chromosome","NC_003210.1",40705,41730,"+",985152,,"lmo0036","NP_463569.1",341,"putrescine carbamoyltransferase"
"chromosome","NC_003210.1",41803,43188,"+",985153,,"lmo0037","NP_463570.1",461,"amino acid transporter"
"chromosome","NC_003210.1",43175,44266,"+",985162,,"lmo0038","NP_463571.1",363,"agmatine deiminase"
"chromosome","NC_003210.1",44282,45223,"+",985163,,"lmo0039","NP_463572.1",313,"carbamate kinase"
"chromosome","NC_003210.1",45325,46434,"+",985194,,"lmo0040","NP_463573.1",369,"agmatine deiminase"
"chromosome","NC_003210.1",46451,47230,"+",985277,,"lmo0041","NP_463574.1",259,"hypothetical protein lmo0041"
"chromosome","NC_003210.1",47335,47994,"+",985331,,"lmo0042","NP_463575.1",219,"DedA protein"
"chromosome","NC_003210.1",48074,49306,"+",985417,,"lmo0043","NP_463576.1",410,"arginine deiminase"
"chromosome","NC_003210.1",49585,49878,"+",985454,"rpsF","lmo0044","NP_463577.1",97,"30S ribosomal protein S6"
"chromosome","NC_003210.1",49934,50470,"+",985468,"ssb","lmo0045","NP_463578.1",178,"single-strand binding protein"
"chromosome","NC_003210.1",50514,50753,"+",985537,"rpsR","lmo0046","NP_463579.1",79,"30S ribosomal protein S18"
"chromosome","NC_003210.1",50907,51518,"+",985583,,"lmo0047","NP_463580.1",203,"hypothetical protein lmo0047"
"chromosome","NC_003210.1",51775,52389,"+",985598,,"lmo0048","NP_463581.1",204,"sensor histidine kinase AgrB"
"chromosome","NC_003210.1",52373,52534,"+",985690,,"lmo0049","NP_463582.1",53,"hypothetical protein lmo0049"
"chromosome","NC_003210.1",52630,53925,"+",985694,,"lmo0050","NP_463583.1",431,"histidine kinase"
"chromosome","NC_003210.1",53944,54672,"+",985847,,"lmo0051","NP_463584.1",242,"response regulator"
"chromosome","NC_003210.1",54839,56812,"+",986050,,"lmo0052","NP_463585.1",657,"hypothetical protein lmo0052"
"chromosome","NC_003210.1",56815,57261,"+",986067,"rplI","lmo0053","NP_463586.1",148,"50S ribosomal protein L9"
"chromosome","NC_003210.1",57286,58638,"+",986068,"dnaC","lmo0054","NP_463587.1",450,"replicative DNA helicase"
"chromosome","NC_003210.1",58897,60189,"+",986069,"purA","lmo0055","NP_463588.1",430,"adenylosuccinate synthetase"
"chromosome","NC_003210.1",60506,60799,"+",986070,,"lmo0056","NP_463589.1",97,"heat shock protein"
"chromosome","NC_003210.1",60948,64154,"+",986071,,"lmo0057","NP_463590.1",1068,"hypothetical protein lmo0057"
"chromosome","NC_003210.1",64144,64659,"+",986073,,"lmo0058","NP_463591.1",171,"hypothetical protein lmo0058"
"chromosome","NC_003210.1",64677,64928,"+",986184,,"lmo0059","NP_463592.1",83,"hypothetical protein lmo0059"
"chromosome","NC_003210.1",64950,66146,"+",986285,,"lmo0060","NP_463593.1",398,"hypothetical protein lmo0060"
"chromosome","NC_003210.1",66160,70656,"+",986287,,"lmo0061","NP_463594.1",1498,"hypothetical protein lmo0061"
"chromosome","NC_003210.1",70676,71071,"+",986293,,"lmo0062","NP_463595.1",131,"hypothetical protein lmo0062"
"chromosome","NC_003210.1",71064,71363,"+",986361,,"lmo0063","NP_463596.1",99,"hypothetical protein lmo0063"
"chromosome","NC_003210.1",71360,72061,"+",986373,,"lmo0064","NP_463597.1",233,"hypothetical protein lmo0064"
"chromosome","NC_003210.1",72062,72394,"+",986383,,"lmo0065","NP_463598.1",110,"hypothetical protein lmo0065"
"chromosome","NC_003210.1",72408,74222,"+",986392,,"lmo0066","NP_463599.1",604,"toxin"
"chromosome","NC_003210.1",74239,75228,"+",986401,,"lmo0067","NP_463600.1",329,"dinitrogenase reductase ADP-ribosylation protein"
"chromosome","NC_003210.1",75342,75665,"+",986408,,"lmo0068","NP_463601.1",107,"hypothetical protein lmo0068"
"chromosome","NC_003210.1",75832,76125,"+",986411,,"lmo0069","NP_463602.1",97,"hypothetical protein lmo0069"
"chromosome","NC_003210.1",76262,76984,"+",986434,,"lmo0070","NP_463603.1",240,"hypothetical protein lmo0070"
"chromosome","NC_003210.1",77149,77406,"+",986441,,"lmo0071","NP_463604.1",85,"hypothetical protein lmo0071"
"chromosome","NC_003210.1",77863,78066,"+",986445,,"lmo0072","NP_463605.1",67,"hypothetical protein lmo0072"
"chromosome","NC_003210.1",78090,78374,"+",986452,,"lmo0073","NP_463606.1",94,"hypothetical protein lmo0073"
"chromosome","NC_003210.1",78362,78811,"+",986466,,"lmo0074","NP_463607.1",149,"hypothetical protein lmo0074"
"chromosome","NC_003210.1",79047,79820,"+",986472,,"lmo0075","NP_463608.1",257,"carboxyphosphonoenolpyruvate phosphonomutase"
"chromosome","NC_003210.1",79817,80869,"+",986519,,"lmo0076","NP_463609.1",350,"O6-methylguanine-DNA methyltransferase"
"chromosome","NC_003210.1",80892,81530,"-",986552,,"lmo0077","NP_463610.1",212,"hypothetical protein lmo0077"
"chromosome","NC_003210.1",81661,82617,"+",986565,,"lmo0078","NP_463611.1",318,"phosphoglycerate dehydrogenase"
"chromosome","NC_003210.1",82959,84437,"+",986575,,"lmo0079","NP_463612.1",492,"hypothetical protein lmo0079"
"chromosome","NC_003210.1",84451,84849,"+",986576,,"lmo0080","NP_463613.1",132,"hypothetical protein lmo0080"
"chromosome","NC_003210.1",85025,85627,"+",986577,,"lmo0081","NP_463614.1",200,"hypothetical protein lmo0081"
"chromosome","NC_003210.1",85902,86228,"+",986579,,"lmo0082","NP_463615.1",108,"hypothetical protein lmo0082"
"chromosome","NC_003210.1",86323,86691,"-",986580,,"lmo0083","NP_463616.1",122,"MerR family transcriptional regulator"
"chromosome","NC_003210.1",86747,87730,"-",986581,,"lmo0084","NP_463617.1",327,"oxidoreductase"
"chromosome","NC_003210.1",88121,88810,"+",986582,,"lmo0085","NP_463618.1",229,"hypothetical protein lmo0085"
"chromosome","NC_003210.1",88888,94767,"+",986583,,"lmo0086","NP_463619.1",1959,"hypothetical protein lmo0086"
"chromosome","NC_003210.1",94764,97070,"+",986585,,"lmo0087","NP_463620.1",768,"hypothetical protein lmo0087"
"chromosome","NC_003210.1",97127,97369,"+",986586,,"lmo0088","NP_463621.1",80,"ATP synthase subunit C"
"chromosome","NC_003210.1",97381,98412,"+",986587,,"lmo0089","NP_463622.1",343,"ATP synthase subunit delta"
"chromosome","NC_003210.1",98409,99905,"+",986589,,"lmo0090","NP_463623.1",498,"ATP synthase F0F1 subunit alpha"
"chromosome","NC_003210.1",99902,100771,"+",986593,,"lmo0091","NP_463624.1",289,"ATP synthase subunit gamma"
"chromosome","NC_003210.1",100772,102142,"+",986598,,"lmo0092","NP_463625.1",456,"ATP synthase F0F1 subunit beta"
"chromosome","NC_003210.1",102155,102478,"+",986604,,"lmo0093","NP_463626.1",107,"ATP synthase subunit epsilon"
"chromosome","NC_003210.1",102468,103028,"+",986607,,"lmo0094","NP_463627.1",186,"hypothetical protein lmo0094"
"chromosome","NC_003210.1",103204,103836,"+",986608,,"lmo0095","NP_463628.1",210,"hypothetical protein lmo0095"
"chromosome","NC_003210.1",104134,105099,"+",986611,,"lmo0096","NP_463629.1",321,"PTS mannose transporter subunit IIAB"
"chromosome","NC_003210.1",105123,105929,"+",986614,,"lmo0097","NP_463630.1",268,"PTS mannose transporter subunit IIC"
"chromosome","NC_003210.1",105951,106862,"+",986620,,"lmo0098","NP_463631.1",303,"PTS mannose transporter subunit IID"
"chromosome","NC_003210.1",106988,107377,"+",986621,,"lmo0099","NP_463632.1",129,"hypothetical protein lmo0099"
"chromosome","NC_003210.1",107499,107849,"+",986623,,"lmo0100","NP_463633.1",116,"hypothetical protein lmo0100"
"chromosome","NC_003210.1",107915,108208,"-",986628,,"lmo0101","NP_463634.1",97,"transcriptional regulator"
"chromosome","NC_003210.1",108320,108610,"+",986630,,"lmo0102","NP_463635.1",96,"hypothetical protein lmo0102"
"chromosome","NC_003210.1",108624,109256,"+",986631,,"lmo0103","NP_463636.1",210,"NADH oxidase"
"chromosome","NC_003210.1",109349,109720,"+",986632,,"lmo0104","NP_463637.1",123,"hypothetical protein lmo0104"
"chromosome","NC_003210.1",110013,112283,"+",986634,,"lmo0105","NP_463638.1",756,"chitinase B"
"chromosome","NC_003210.1",112386,113288,"+",986639,,"lmo0106","NP_463639.1",300,"transcriptional regulator"
"chromosome","NC_003210.1",113313,115094,"-",986644,,"lmo0107","NP_463640.1",593,"ABC transporter ATP-binding protein"
"chromosome","NC_003210.1",115087,116829,"-",986645,,"lmo0108","NP_463641.1",580,"ABC transporter ATP-binding protein"
"chromosome","NC_003210.1",116972,117805,"+",986650,,"lmo0109","NP_463642.1",277,"AraC family transcriptional regulator"
"chromosome","NC_003210.1",117841,118956,"+",986652,,"lmo0110","NP_463643.1",371,"lipase"
"chromosome","NC_003210.1",119063,119770,"+",986654,,"lmo0111","NP_463644.1",235,"hypothetical protein lmo0111"
"chromosome","NC_003210.1",119740,120435,"-",986655,,"lmo0112","NP_463645.1",231,"Fnr/Crp family transcriptional regulator"
"chromosome","NC_003210.1",120654,121106,"-",986656,,"lmo0113","NP_463646.1",150,"hypothetical protein lmo0113"
"chromosome","NC_003210.1",121112,121447,"-",986659,,"lmo0114","NP_463647.1",111,"repressor C1"
"chromosome","NC_003210.1",121664,122092,"+",986665,"lmaD","lmo0115","NP_463648.1",142,"hypothetical protein lmo0115"
"chromosome","NC_003210.1",122104,122520,"+",986666,"lmaC","lmo0116","NP_463649.1",138,"hypothetical protein lmo0116"
"chromosome","NC_003210.1",122798,123187,"+",986670,"lmaB","lmo0117","NP_463650.1",129,"antigen B"
"chromosome","NC_003210.1",123200,123712,"+",986672,"lmaA","lmo0118","NP_463651.1",170,"antigen A"
"chromosome","NC_003210.1",123760,124062,"+",986674,,"lmo0119","NP_463652.1",100,"hypothetical protein lmo0119"
"chromosome","NC_003210.1",124104,124508,"+",986675,,"lmo0120","NP_463653.1",134,"hypothetical protein lmo0120"
"chromosome","NC_003210.1",124495,126363,"+",986683,,"lmo0121","NP_463654.1",622,"phage tail protein"
"chromosome","NC_003210.1",126360,127178,"+",986687,,"lmo0122","NP_463655.1",272,"hypothetical protein lmo0122"
"chromosome","NC_003210.1",127188,128324,"+",986689,,"lmo0123","NP_463656.1",378,"hypothetical protein lmo0123"
"chromosome","NC_003210.1",128314,128613,"+",986692,,"lmo0124","NP_463657.1",99,"hypothetical protein lmo0124"
"chromosome","NC_003210.1",128628,129203,"+",986693,,"lmo0125","NP_463658.1",191,"hypothetical protein lmo0125"
"chromosome","NC_003210.1",129218,129697,"+",986697,,"lmo0126","NP_463659.1",159,"hypothetical protein lmo0126"
"chromosome","NC_003210.1",129694,130230,"+",986705,,"lmo0127","NP_463660.1",178,"hypothetical protein lmo0127"
"chromosome","NC_003210.1",130249,130671,"+",986706,,"lmo0128","NP_463661.1",140,"hypothetical protein lmo0128"
"chromosome","NC_003210.1",130652,131380,"+",986713,,"lmo0129","NP_463662.1",242,"N-acetylmuramoyl-L-alanine amidase"
"chromosome","NC_003210.1",131419,133773,"-",986721,,"lmo0130","NP_463663.1",784,"5\\'-nucleotidase"
"chromosome","NC_003210.1",133961,134710,"+",986722,,"lmo0131","NP_463664.1",249,"hypothetical protein lmo0131"
"chromosome","NC_003210.1",134782,136290,"-",986732,,"lmo0132","NP_463665.1",502,"inosine 5-monophosphate dehydrogenase"
"chromosome","NC_003210.1",136469,136702,"+",986735,,"lmo0133","NP_463666.1",77,"hypothetical protein lmo0133"
"chromosome","NC_003210.1",136714,136992,"+",986737,,"lmo0134","NP_463667.1",92,"hypothetical protein lmo0134"
"chromosome","NC_003210.1",137323,138897,"+",986748,,"lmo0135","NP_463668.1",524,"peptide ABC transporter substrate-binding protein"
"chromosome","NC_003210.1",138999,139949,"+",986752,,"lmo0136","NP_463669.1",316,"peptide ABC transporter permease"
"chromosome","NC_003210.1",139960,140853,"+",986757,,"lmo0137","NP_463670.1",297,"peptide ABC transporter permease"
"chromosome","NC_003210.1",141052,141336,"+",986772,,"lmo0138","NP_463671.1",94,"hypothetical protein lmo0138"
"chromosome","NC_003210.1",141337,141705,"+",986775,,"lmo0139","NP_463672.1",122,"hypothetical protein lmo0139"
"chromosome","NC_003210.1",141618,143006,"+",986783,,"lmo0140","NP_463673.1",462,"hypothetical protein lmo0140"
"chromosome","NC_003210.1",143016,143258,"+",986784,,"lmo0141","NP_463674.1",80,"hypothetical protein lmo0141"
"chromosome","NC_003210.1",143366,143722,"+",986788,,"lmo0142","NP_463675.1",118,"hypothetical protein lmo0142"
"chromosome","NC_003210.1",143986,144273,"+",16695797,,"lmo0142a","YP_008475626.1",95,"hypothetical protein lmo0142a"
"chromosome","NC_003210.1",144097,144273,"+",986794,,"lmo0143","NP_463676.1",58,"hypothetical protein lmo0143, partial"
"chromosome","NC_003210.1",144397,144840,"+",986795,,"lmo0144","NP_463677.1",147,"hypothetical protein lmo0144"
"chromosome","NC_003210.1",145354,145560,"+",986800,,"lmo0146","NP_463679.1",68,"hypothetical protein lmo0146"
"chromosome","NC_003210.1",145869,146306,"+",986802,,"lmo0147","NP_463680.1",145,"hypothetical protein lmo0147"
"chromosome","NC_003210.1",146306,146656,"+",986805,,"lmo0148","NP_463681.1",116,"hypothetical protein lmo0148"
"chromosome","NC_003210.1",146764,147381,"+",986806,,"lmo0149","NP_463682.1",205,"hypothetical protein lmo0149"
"chromosome","NC_003210.1",147399,147764,"+",986809,,"lmo0150","NP_463683.1",121,"hypothetical protein lmo0150"
"chromosome","NC_003210.1",147884,148291,"+",986811,,"lmo0151","NP_463684.1",135,"hypothetical protein lmo0151"
"chromosome","NC_003210.1",148354,150009,"-",986821,,"lmo0152","NP_463685.1",551,"peptide ABC transporter substrate-binding protein"
"chromosome","NC_003210.1",150232,151173,"+",986823,,"lmo0153","NP_463686.1",313,"zinc ABC transporter substrate-binding protein"
"chromosome","NC_003210.1",151186,151890,"+",986826,,"lmo0154","NP_463687.1",234,"zinc ABC transporter ATP-binding protein"
"chromosome","NC_003210.1",151839,152645,"+",986832,,"lmo0155","NP_463688.1",268,"zinc ABC transporter permease"
"chromosome","NC_003210.1",152648,153328,"-",986833,,"lmo0156","NP_463689.1",226,"hypothetical protein lmo0156"
"chromosome","NC_003210.1",153608,155947,"+",986835,,"lmo0157","NP_463690.1",779,"ATP-dependent helicase"
"chromosome","NC_003210.1",155993,156805,"+",986836,,"lmo0158","NP_463691.1",270,"hypothetical protein lmo0158"
"chromosome","NC_003210.1",157089,159470,"+",986840,,"lmo0159","NP_463692.1",793,"peptidoglycan binding protein"
"chromosome","NC_003210.1",159663,161378,"+",986846,,"lmo0160","NP_463693.1",571,"peptidoglycan binding protein"
"chromosome","NC_003210.1",161420,162250,"-",986851,,"lmo0161","NP_463694.1",276,"hypothetical protein lmo0161"
"chromosome","NC_003210.1",162467,163459,"+",986854,,"lmo0162","NP_463695.1",330,"DNA polymerase III subunit delta\\'"
"chromosome","NC_003210.1",163465,164298,"+",986862,,"lmo0163","NP_463696.1",277,"hypothetical protein lmo0163"
"chromosome","NC_003210.1",164309,164698,"+",986868,,"lmo0164","NP_463697.1",129,"DNA replication intiation control protein YabA"
"chromosome","NC_003210.1",164756,165508,"+",986872,,"lmo0165","NP_463698.1",250,"hypothetical protein lmo0165"
"chromosome","NC_003210.1",165492,165764,"+",986878,,"lmo0166","NP_463699.1",90,"GIY-YIG nuclease"
"chromosome","NC_003210.1",165761,166642,"+",986880,,"lmo0167","NP_463700.1",293,"hypothetical protein lmo0167"
"chromosome","NC_003210.1",166687,166971,"-",986889,,"lmo0168","NP_463701.1",94,"AbrB family transcriptional regulator"
"chromosome","NC_003210.1",167086,167943,"+",986890,,"lmo0169","NP_463702.1",285,"glucose transporter"
"chromosome","NC_003210.1",168005,169270,"+",986891,,"lmo0170","NP_463703.1",421,"hypothetical protein lmo0170"
"chromosome","NC_003210.1",169510,172008,"+",986893,,"lmo0171","NP_463704.1",832,"internalin"
"chromosome","NC_003210.1",172903,173208,"-",986910,,"lmo0174","NP_463705.1",101,"transposase"
"chromosome","NC_003210.1",173309,174556,"-",986928,,"lmo0175","NP_463706.1",415,"peptidoglycan-binding protein"
"chromosome","NC_003210.1",174834,175694,"+",986935,,"lmo0176","NP_463707.1",286,"glucose transporter"
"chromosome","NC_003210.1",175766,177760,"+",986940,"metS","lmo0177","NP_463708.1",664,"methionyl-tRNA synthetase"
"chromosome","NC_003210.1",177924,179138,"+",986964,,"lmo0178","NP_463709.1",404,"xylose repressor"
"chromosome","NC_003210.1",179174,180052,"+",986967,,"lmo0179","NP_463710.1",292,"sugar ABC transporter permease"
"chromosome","NC_003210.1",180052,180900,"+",986972,,"lmo0180","NP_463711.1",282,"sugar ABC transporter permease"
"chromosome","NC_003210.1",180928,182184,"+",986977,,"lmo0181","NP_463712.1",418,"sugar ABC transporter substrate-binding protein"
"chromosome","NC_003210.1",182267,185569,"+",986983,,"lmo0182","NP_463713.1",1100,"alpha-glucosidase"
"chromosome","NC_003210.1",185572,187863,"+",987006,,"lmo0183","NP_463714.1",763,"alpha-glucosidase"
"chromosome","NC_003210.1",187867,189528,"+",987008,,"lmo0184","NP_463715.1",553,"oligo-1,6-glucosidase"
"chromosome","NC_003210.1",189625,190398,"+",987009,,"lmo0185","NP_463716.1",257,"hypothetical protein lmo0185"
"chromosome","NC_003210.1",190690,191916,"+",987011,,"lmo0186","NP_463717.1",408,"hypothetical protein lmo0186"
"chromosome","NC_003210.1",192018,192593,"+",987012,,"lmo0187","NP_463718.1",191,"hypothetical protein lmo0187"
"chromosome","NC_003210.1",192586,193473,"+",987014,"ksgA","lmo0188","NP_463719.1",295,"dimethyladenosine transferase"
"chromosome","NC_003210.1",193593,193850,"+",987015,,"lmo0189","NP_463720.1",85,"Veg protein"
"chromosome","NC_003210.1",193989,194870,"+",987016,"ipk","lmo0190","NP_463721.1",293,"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase"
"chromosome","NC_003210.1",194892,195629,"+",987017,,"lmo0191","NP_463722.1",245,"phospho-beta-glucosidase"
"chromosome","NC_003210.1",195793,196611,"+",987018,,"lmo0192","NP_463723.1",272,"PurR family transcriptional regulator"
"chromosome","NC_003210.1",196786,197463,"+",987019,,"lmo0193","NP_463724.1",225,"hypothetical protein lmo0193"
"chromosome","NC_003210.1",197512,198204,"+",987020,,"lmo0194","NP_463725.1",230,"ABC transporter, ATP-binding protein"
"chromosome","NC_003210.1",198201,199409,"+",987022,,"lmo0195","NP_463726.1",402,"ABC transporter permease"
"chromosome","NC_003210.1",200094,200402,"+",987023,,"lmo0196","NP_463727.1",102,"regulatory protein SpoVG"
"chromosome","NC_003210.1",200522,200830,"+",987024,,"lmo0197","NP_463728.1",102,"regulatory protein SpoVG"
"chromosome","NC_003210.1",201217,202590,"+",987026,"glmU","lmo0198","NP_463729.1",457,"bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase"
"chromosome","NC_003210.1",202641,203597,"+",987027,"prs","lmo0199","NP_463730.1",318,"ribose-phosphate pyrophosphokinase"
"chromosome","NC_003210.1",203640,204353,"-",987031,"prfA","lmo0200","NP_463731.1",237,"listeriolysin positive regulatory protein"
"chromosome","NC_003210.1",204624,205577,"-",987032,"plcA","lmo0201","NP_463732.1",317,"phosphatidylinositol-specific phospholipase c"
"chromosome","NC_003210.1",205819,207408,"+",987033,"hly","lmo0202","NP_463733.1",529,"listeriolysin O precursor"
"chromosome","NC_003210.1",207739,209271,"+",987034,"mpl","lmo0203","NP_463734.1",510,"Zinc metalloproteinase precursor"
"chromosome","NC_003210.1",209470,211389,"+",987035,"actA","lmo0204","NP_463735.1",639,"actin-assembly inducing protein precursor"
"chromosome","NC_003210.1",211425,212294,"+",987036,"plcB","lmo0205","NP_463736.1",289,"phospholipase C"
"chromosome","NC_003210.1",212366,212689,"+",987037,,"lmo0206","NP_463737.1",107,"hypothetical protein lmo0206"
"chromosome","NC_003210.1",212824,213285,"+",987038,,"lmo0207","NP_463738.1",153,"hypothetical protein lmo0207"
"chromosome","NC_003210.1",213336,213668,"-",987041,,"lmo0208","NP_463739.1",110,"hypothetical protein lmo0208"
"chromosome","NC_003210.1",213735,214409,"-",987042,,"lmo0209","NP_463740.1",224,"hypothetical protein lmo0209"
"chromosome","NC_003210.1",214486,215427,"-",987043,"ldh","lmo0210","NP_463741.1",313,"L-lactate dehydrogenase"
"chromosome","NC_003210.1",215721,216344,"+",987044,"ctc","lmo0211","NP_463742.1",207,"50S ribosomal protein L25"
"chromosome","NC_003210.1",216434,217018,"+",987045,,"lmo0212","NP_463743.1",194,"hypothetical protein lmo0212"
"chromosome","NC_003210.1",217125,217685,"+",987046,"pth","lmo0213","NP_463744.1",186,"peptidyl-tRNA hydrolase"
"chromosome","NC_003210.1",217800,221339,"+",987048,"mfd","lmo0214","NP_463745.1",1179,"transcription-repair coupling factor"
"chromosome","NC_003210.1",221370,222959,"+",987049,,"lmo0215","NP_463746.1",529,"hypothetical protein lmo0215"
"chromosome","NC_003210.1",222983,223261,"+",987050,,"lmo0216","NP_463747.1",92,"hypothetical protein lmo0216"
"chromosome","NC_003210.1",223490,223876,"+",987052,,"lmo0217","NP_463748.1",128,"DivIC protein"
"chromosome","NC_003210.1",224027,224455,"+",987053,,"lmo0218","NP_463749.1",142,"hypothetical protein lmo0218"
"chromosome","NC_003210.1",224562,226508,"+",987055,,"lmo0219","NP_463750.1",648,"hypothetical protein lmo0219"
"chromosome","NC_003210.1",226854,228929,"+",987058,"ftsH","lmo0220","NP_463751.1",691,"cell division protein FtsH"
"chromosome","NC_003210.1",229045,229824,"+",987060,,"lmo0221","NP_463752.1",259,"pantothenate kinase"
"chromosome","NC_003210.1",229840,230724,"+",987062,"hslO","lmo0222","NP_463753.1",294,"heat shock protein 33"
"chromosome","NC_003210.1",230840,231766,"+",987069,"cysK","lmo0223","NP_463754.1",308,"cysteine synthase"
"chromosome","NC_003210.1",232662,233477,"+",987081,"sul","lmo0224","NP_463755.1",271,"dihydropteroate synthases"
"chromosome","NC_003210.1",233491,233865,"+",987089,"folA","lmo0225","NP_463756.1",124,"dihydroneopterin aldolase"
"chromosome","NC_003210.1",233858,234337,"+",987097,"folK","lmo0226","NP_463757.1",159,"7,8-dihydro-6-hydroxymethylpterin pyrophosphokinase"
"chromosome","NC_003210.1",234414,235409,"+",987098,,"lmo0227","NP_463758.1",331,"hypothetical protein lmo0227"
"chromosome","NC_003210.1",235524,237020,"+",987100,"lysS","lmo0228","NP_463759.1",498,"lysyl-tRNA synthetase"
"chromosome","NC_003210.1",248555,249013,"+",987186,,"lmo0229","NP_463760.1",152,"CtsR family transcriptional regulator"
"chromosome","NC_003210.1",249026,249544,"+",987194,,"lmo0230","NP_463761.1",172,"hypothetical protein lmo0230"
"chromosome","NC_003210.1",249541,250563,"+",987202,,"lmo0231","NP_463762.1",340,"ATP:guanido phosphotransferase"
"chromosome","NC_003210.1",250592,253054,"+",987203,"clpC","lmo0232","NP_463763.1",820,"endopeptidase Clp ATP-binding chain C"
"chromosome","NC_003210.1",253200,254573,"+",987204,,"lmo0233","NP_463764.1",457,"DNA repair protein RadA"
"chromosome","NC_003210.1",254707,255780,"+",987212,,"lmo0234","NP_463765.1",357,"hypothetical protein lmo0234"
